WEEK,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_1_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_2_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_3_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER,WEEK_4_HYPER
Day,12.31.18,1.1.19,1.2.19,1.3.19,1.4.19,1.5.19,1.7.19,1.8.19,1.9.19,1.10.19,1.11.19,1.12.19,1.14.19,1.15.19,1.16.19,1.17.19,1.18.19,1.19.19,1.21.19,1.22.19,1.23.19,1.24.19,1.25.19,1.26.19
Primer,400m Row | Foam Roll | Movement Prep 1,Movement Prep 3 | 400m Row | | Foam Roll,400m Row | Stretch | Movement Prep 4,400m Row | Foam Roll,Movement Prep 3 | 400m Row | | Foam Roll,Movement Prep 2 | 400m Row | Foam Roll,400m Row | Foam Roll | Movement Prep 1,400m Row | Foam Roll | Movement Prep 2,Movement Prep 4 | 400m Row | | Foam Roll,Foam Roll | 400m Row,Movement Prep 3 | 400m Row | | Foam Roll,Movment Prep 2 | 400m Row | | Foam Roll,Movement Prep 1 | Foam Roll | 400m Row,Movement Prep 3 | Foam Roll | 400m Row,Movment Prep 4 | 400m Row | Foam Roll,Foam Roll,Movement Prep 3 | 400m Row | Foam Roll,Movement Prep 1 | 400m Row | Foam Roll,400m Row | Foam roll | Movement prep 1,Javorek Complex 1 | 400m Row | | Foam roll,Movement Prep 4 | 400m Row | Foam Roll,Foam roll,Javorek Complex 1 | 400m Row | Foam Roll,Movement Prep 2 | 400m Row | Foam Roll
Strength,,,,,,,,,,,reference 1.6.26,reference 1.12.16,,reference 1.8.16,reference 1.4.16,,,reference 1.22.19,reference 1.30.16,reference 1.18.16,,,reference 1.19.16,ref 1.27.18 and 9.9.18
Athlete,Back Squats 3x12@ 60%,Clean and jerk 4x6@ 55%,Deadlifts 3x12@ 60%,Abs: | Durante Core | 5 rounds | 10 Hollow Rocks | 10 V-Ups | 10 Tuck Ups | :10 Hollow Hold (1min rest),Snatch 4x6@ 55%,,Drop Snatch 3x3@ 95/65 | Snatch 4x5@ 60%,Back Squats 3x12@ 65%,Drop Clean 3x3@ 95/65 | Clean 4x5@ 60%,Abs: 8min AMRAP | 7 Side Plank Raises (ea side) | 7 Tuck Ups | 14 Russian Twists (25/15),Deadlifts 3x12@ 65%,,3 Position Cleans 5x3@ 70%,Deadlifts 3x10@ 70%,3 Position Snatch 5x3@ 70%,Abs:  | 5 rounds | 30 Bicycles | 20 Opp hand to foot | 10 V-Ups | 1min Iso Glute Bridge,Back Squats 3x10@ 70%,Bench Press 3x10@ 70%,Snatch Pull 3x5@ 100% | Hang Snatch (mid) 4x3@ 70%,Back Squats 3x8@ 75%,Clean Hi Pull 3x5@ 60% | Hang Clean (mid) 4x3@ 70%,Abs: | 3rds | 10 Hip Hikes | 10 Crunches | 10ea Side Crunches,Deadlifts 3x8@ 75%,
Enthusiast,Back Squats 3x12@ 50%,P. Clean+ Push Pr 4x6@95/65,Deadlifts 3x12@ 50%,,Power Sn+ OHS 4x6@ 75/45,,Heaving Sn Balance 3x3@ 75/45 | Power Snatch 4x5@ 95/65,Back Squats 3x12@ 55%,Clean Pull Under 3x3@ 45/35 | Power Clean 4x5@ 115/75,,Deadlifts 3x12@ 55%,,2 Position Cleans 5x3@ 115/75,Deadlifts 3x10@ 60%,2 Position Snatch 5x3@ 95/65,,Back Squats 3x10@ 60%,Bench Press 3x10@ 60%,Snatch Pull 3x5@ 135/95 | Hang Snatch (knee) 4x3@ 95/65,Back Squats 3x8@ 65%,Clean Hi Pull 3x5@ 115/75 | Hang Clean (knee) 4x3@ 115/75,,Deadlifts 3x8@ 65%,
Foundation,Back Squats (to box) 3x12@ 65/45,Kb Swing 5x10@ 55/35 | Shoulder Press 5x10@ 45/35,RDL's 3x12@ 95/65,,Overhead Squat (OHS) 4x6@ pvc (to box),,Pressing Sn Balance 3x3@ 45/35 | OHS (to box) 4x5@ pvc,Back Squats 3x12@ 75/55,Muscle Clean 3x3@ 45/35 | Kb Swing 5x10@ 55/35,,RDL's 3x12@ 105/75,,RDL 5x5@ 95/65,Deadlifts 3x10@ 95/65,Overhead Squat (to box) 5x5@ pvc,,Back Squats 3x10@ 85/65,Bench Press 3x10@ 75/45,Snatch RDL 3x5@ 95/65 | Hang Muscle Snatch 4x3@ 45/35,Back Squats 3x8@ 95/75,Upright Row 3x5@ 75/45 | Hang Muscle Clean 4x5@ 75/45,,Deadlifts 3x8@ 115/75,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,Baseline,,,,,Angie,,,,,,,,,,,,The Mooch,,,Lyne,,,
Athlete,500m Row,5 rounds; for time,15min AMRAP,(Shoulder Fix),3 rounds; for completion,for time,EMOM for 12min,15min AMRAP,6rds | for time,(Hip Correction),EMOM for 5 rounds (of ea ex),for time,Every 2min for 14min,12min AMRAP,5rds/1min ea ex/1min rest between rds,(Low Back Corrections),AMRAP,9min AMRAP,Team WoD; 3 rds; for time,10min AMRAP (60% Clean Max),5rds; for max reps,(Overall Body Reset),5rds; 1min ea rd; 1min rest between sets,for time
,40 Squats,"5 Box Jumps (30""/24"")",10 Front Squats (50% Max),Scap Smash/Across Arm St,10 Bench Press (w/ wide | med | narrow grips)(115/75),100 Pull Ups,6 Db Snatch (50/35),20 Db Lunges (40's/25's),15 Wall Balls (20/14),Side Hip Smash/Samson St,1st min:,21-15-9-6-3,7 Front Squats (55% of max),20 Dubs,for max reps,Glute Smash/Figure 4,0:00 to 5:00,3 Back Squats (225/155),200m Row/Rest,5 Deadlifts,Bench Press (bw),Calf Stretch/Smash,Db Ground to Overhead (50/35),9 Thrusters (85% BW*)
,30 Sit Ups,10 Kb Swings (70/55),10 Bent Over Shoulder Press,Trap Smash/Neck Rolls,15 Bent Over Rows (115/75),100 Push Ups,7 Db Shoulder Press (50's/35's),10 Ring Dips,15 Chest to Bar Pull Ups,Couch/Balerina,15 Bent Over Rows (135/85),Thrusters (95/65),5 Evil Wheels,10 Burpees,Kb Swing (70/55),Samson Stretch,:20 Dip Support,6 Pull Ups,400m Row/Rest,4 Power Cleans,Pull Ups,Couch Mob/Side Hip Smash,Pull Ups ,19 Toes to Bar
,20 Push Ups,15 DB Shoulder Press (50's/35's),,Pec Smash/Scorpion Stretch,,100 Sit Ups,10 Dubs,,,Quad Sm/Ham Sm,2nd min:,Burpees,,,Push Press (135/85),Superhero Stretch,20 Lunges,9 Ring Dips,600m Row/Rest,3 Front Squats,,Glute Fig 4 Stretch+Smash,Burpees,6 Thrusters (85% BW)
,10 Pull Ups,,,Shoulder Distraction,,100 Squats,,,,Iso leg raise,15 Good Mornings (95/65),,,,,Frog Sit,5:00 to 10:00,,,2 Shoulder to Overhead,,Butterfly Stretch,,16 Toes to Bar
,,,,,,,,,,Glute Bridge (far out),3rd min:,,,,,Squat Sit,10 Shoulder Press (115/75),,*each person completes the listed rows | in order. You are finished when the last person finishes their last 600m row.,,,Raggedy Ann's,,3 Thrusters (85% BW)
,,,,,,,,,,Tree Pose,15 Hanging Knee Raises (25/15),,,,,Recliners,10 RDL (95/65),,,,,Scorpion St+Ch Smash,,13 Toes to Bar
,,,,,,,,,,Squat Sit (w/ overhead reach),,,,,,Serratus Act.,10:00 to 15:00,,,,,,,
,,,,,,,,,,,,,,,,Tree pose w/ leg kickbacks,5 Pull Ups,,,,,,,*225 limit
,,,,,,,,,,,,,,,,,5 Step Ups (40's/25's),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,500m Row,5 rounds; for time,15min AMRAP,(Shoulder Fix),3 rounds; for completion,for time,EMOM for 12min,15min AMRAP,6rds | for time,(Hip Correction),EMOM for 5 rounds (of ea ex),for time,Every 2min for 14min,12min AMRAP,5rds/1min ea ex/1min rest between rds,(Low Back Corrections),AMRAP,9min AMRAP,Team WoD; 3 rds; for time,10min AMRAP (135/95),5rds; for max reps,(Overall Body Reset),5rds; 1min ea rd; 1min rest between sets,for time
,40 Squats,"5 Box Jumps (24""/20"")",10 Front Squats (115/75),Scap Smash/Across Arm St,10 Bench Press (w/ wide | med | narrow grips)(95/65),100 Pull Ups,6 Db Snatch (40/25),20 Db Lunges (25's/15's),15 Wall Balls (20/14),Side Hip Smash/Samson St,1st min:,21-15-9-6-3,7 Front Squats (125/85),20 Dubs,for max reps,Glute Smash/Figure 4,0:00 to 5:00,3 Back Squats (185/105),200m Row/Rest,5 Deadlifts,Bench Press (135/85),Calf Stretch/Smash,Db Ground to Overhead (40/25),9 Thrusters (60% BW)
,30 Sit Ups,10 Kb Swings (55/35),10 Bent Over Shoulder Press,Trap Smash/Neck Rolls,15 Bent Over Rows (95/65),100 Push Ups,7 Db Shoulder Press (40's/25's),10 Push Ups,15 Pull Ups,Couch/Balerina,15 Bent Over Rows (115/75),Thrusters (95/65),5 Evil Wheels,10 Burpees,Kb Swing (55/35),Samson Stretch,:20 Dip Support,6 Pull Ups,400m Row/Rest,4 Power Cleans,Pull Ups,Couch Mob/Side Hip Smash,Pull Ups ,19 Toes to Bar
,20 Push Ups,15 DB Shoulder Press (40's/25's),,Pec Smash/Scorpion Stretch,,100 Sit Ups,10 Dubs,,,Quad Sm/Ham Sm,2nd min:,Burpees,,,Push Press (115/75),Superhero Stretch,20 Lunges,9 Push Ups,600m Row/Rest,3 Front Squats,,Glute Fig 4 Stretch+Smash,Burpees,6 Thrusters (60% BW)
,10 Pull Ups,,,Shoulder Distraction,,100 Squats,,,,Iso leg raise,15 Good Mornings (75/45),,,,,Frog Sit,5:00 to 10:00,,,2 Shoulder to Overhead,,Butterfly Stretch,,16 Toes to Bar
,,,,,,,,,,Glute Bridge (far out),3rd min:,,,,,Squat Sit,10 Shoulder Press (95/65),,*each person completes the listed rows | in order. You are finished when the last person finishes their last 600m row.,,,Raggedy Ann's,,3 Thrusters (60% BW)
,,,,,,,,,,Tree Pose,15 Hanging Knee Raises (25/15),,,,,Recliners,10 RDL (95/65),,,,,Scorpion St+Ch Smash,,13 Toes to Bar
,,,,,,,,,,Squat Sit (w/ overhead reach),,,,,,Serratus Act.,10:00 to 15:00,,,,,,,
,,,,,,,,,,,,,,,,Tree pose w/ leg kickbacks,5 Pull Ups,,,,,,,
,,,,,,,,,,,,,,,,,5 Step Ups,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Foundation,500m Row,5 rounds; for time,15min AMRAP,(Shoulder Fix),3 rounds; for completion,for time,EMOM for 12min,15min AMRAP,6rds | for time,(Hip Correction),EMOM for 5 rounds (of ea ex),for time,Every 2min for 14min,12min AMRAP,5rds/1min ea ex/1min rest between rds,(Low Back Corrections),AMRAP,9min AMRAP,Team WoD; 3 rds; for time,10min AMRAP (95/65),5rds; for max reps,(Overall Body Reset),5rds; 1min ea rd; 1min rest between sets,for time
,40 Squats to Box,"5 Box Jumps (20"")",10 Goblet Squat (to box)(AhvyAP),Scap Smash/Across Arm St,10 Bench Press (w/ wide | med | narrow grips)(75/45),100 Ring Rows,6 Db Snatch (25/15),20 Lunges (bw),15 Wall Ball Thrusters (20/14),Side Hip Smash/Samson St,1st min:,21-15-9-6-3,7 Goblet Squats (40/25),60 Singles,for max reps,Glute Smash/Figure 4,0:00 to 5:00,3 Box Squats (95/65),200m Row/Rest,5 Deadlifts,Bench Press (95/65),Calf Stretch/Smash,Db Ground to Overhead (25/15),9 Db Thrusters (40's/25's)
,30 Crunches,10 Db RDL (40/25),10 Bent Over Shoulder Press,Trap Smash/Neck Rolls,15 Bent Over Rows (75/45),100 Knee Push Ups,7 Db Shoulder Press (25's/15's),10 Knee Push Ups,15 Ring Rows,Couch/Balerina,15 Bent Over Rows (45/35),Db Thrusters (25's/15's),5 Plank Walkouts,10 Burpees (no push up),RDL (40/25),Samson Stretch,:20 Dip Support,6 Ring Rows,400m Row/Rest,4 Power Cleans,Ring Rows,Couch Mob/Side Hip Smash,Ring Rows,19 HKR
,20 Knee Push Ups,15 DB Shoulder Press (AHvyAP),,Pec Smash/Scorpion Stretch,,100 Sit Ups,30 Singles,,,Quad Sm/Ham Sm,2nd min:,Burpees (no push up),,,Push Press (45/35),Superhero Stretch,20 Lunges,9 Knee Push Ups,600m Row/Rest,3 Front Squats,,Glute Fig 4 Stretch+Smash,Burpees (no push up),6 Db Thrusters (40's/25's)
,10 Ring Rows,,,Shoulder Distraction,,100 Squats to Box,,,,Iso leg raise,15 Good Mornings (45/35),,,,,Frog Sit,5:00 to 10:00,,,2 Shoulder to Overhead,,Butterfly Stretch,,16 HKR
,,,,,,,,,,Glute Bridge (far out),3rd min:,,,,,Squat Sit,10 Shoulder Press (45/35),,*each person completes the listed rows | in order. You are finished when the last person finishes their last 600m row.,,,Raggedy Ann's,,3 Db Thrusters (40's/25's)
,,,,,,,,,,Tree Pose,15 Hanging Knee Raises (bw),,,,,Recliners,10 RDL (45/35),,,,,Scorpion St+Ch Smash,,13 HKR
,,,,,,,,,,Squat Sit (w/ overhead reach),,,,,,Serratus Act.,10:00 to 15:00,,,,,,,
,,,,,,,,,,,,,,,,Tree pose w/ leg kickbacks,5 Ring Rows,,,,,,,
,,,,,,,,,,,,,,,,,5 Step Ups,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
At-Home,20 GHD's,50 Reverse Flys,40 Band Pull Aparts,30 Banded Shoulder Press,20 Bi's and Tri's,3x Sled Push (90/45),30 GHD's,:30ea arm circles (sm | m | l),80yd Side Step,30 Banded RDL's,30 Bi's and Tri's,,30 GHDs,40 Band Pull Aparts,30 banded RDLs,30 Split Squats (ea leg),40 Curls/Tri Ext,3x Sled Push (90/45),30 GHD (15/10),80yd Side Steps,1min Dip Support,1min Superman/BNP,50 Bi's and Tri's,3x Rope Climb/Rope Hang
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
