WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,1.1.21,1.2.21,1.4.21,1.5.21,1.6.21,1.7.21,1.8.21,1.9.21,1.11.21,1.12.21,1.13.21,1.14.21,1.15.21,1.16.21,1.18.21,1.19.21,1.20.21,1.21.21,1.22.21,1.23.21,1.25.21,1.26.21,1.27.21,1.28.21,1.29.21,1.30.21
Primer,,,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,ref 8.14.20,ref 1.27.20,ref 1.28.20,,ref 2.3.20,ref 2.1.20,,,,,,,ref 2.10.20,ref 2.11.20,,,,,,,ref 4.16.19 and 2.19.20,,ref 2.21.20,ref 2.22.20
Athlete,,,Back Squats 5x5@ 80%,(FL) | Power Clean + Fr Sq 6x3@ 80%,Deadlifts 5x5@ 80%,,(FL) | Power Snatch + OHS 6x3@ 80%,,Deadlifts 5x4@ 85%,(FL) | Power Snatch + OHS 6x2@ 85%,Back Squats 5x4@ 85%,,(FL) | Power Clean + Fr Sq 6x2@ 85%,, Back Squats 5x5@ 75%,(FL) | Clean 6x2@ 87%,Deadlifts 5x5@ 75%,,(FL) | Snatch 6x2@ 87%,,Deadlifts 5x2@ 90%,(FL) | Clean 6x2@ 90%,Back Squats 5x2@ 90%,,(FL) | Snatch 6x2@ 90%,
Enthusiast,,,Back Squats 5x5@ 80%,(PP) | Power Cleans + Fr Sq 6x3@ 135/95,Deadlifts 5x5@ 80%,,(PP) | Power Snatches+OHS 6x3@ 130/90,,Deadlifts 5x4@ 85%,(PP) | Power Snatch + OHS 6x2@ 135/95,Back Squats 5x4@ 85%,,(PP) | Power Clean + Fr Sq 6x2@ 145/105,, Back Squats 5x5@ 75%,(PP) | Power Clean 6x2@ 155/115,Deadlifts 5x5@ 75%,,(PP) | Power Snatch 6x2@ 145/105,,Deadlifts 5x2@ 90%,(PP) | Power Clean 6x2@ 165/120,Back Squats 5x2@ 90%,,(PP) | Power Snatch 6x2@ 155/110,
Foundation,,,Box Squats 5x5@ 135/85,Front Squats 6x4@ 95/65,Deadlifts 5x5@ 155/95,,OHS 6x4@ 75/45,,RDL's 5x4@ 165/105, OHS 6x3@ 85/55,Box Squats 5x4@ 145/95,, Front Squat 6x5@ 105/75,, Box Squats 5x5@ ,(PP) | Muscle Clean 6x3@ 105/75,RDL's 5x5@ 135/85,,(PP) | Power Snatch 6x3@ 85/55,,RDL's 5x2@ 175/115,(PP) | Muscle Clean 6x3@ 115/85,Box Squats 5x2@ 155/105,,(PP) | Muscle Snatch 6x3@ 95/65,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,Baseline,,,Reset Your Hips,,The Ghost,,,,Myofascial Train Upper Body,,Garage Fight,,,,Myofcascial Train Lower Body,,,,,,Hard Reset,,
Athlete,EMOM for 12min, for time ,Best out of 3,5rds; for time ,12min AMRAP,Stretch- Pigeon | sumo | Frog | Superhero | Ham | IT Band | Side Hip,12min AMRAP,6rds; 1min/station ,5rds; for time,15min AMRAP,6rds; for time,Stretch- Superficial and Deep Front Line: Pec Sm. | Lat Stretch |,EMOM for 16min,3 rounds; for max reps; 1min ea,3 rounds; for fastest time,EMOM for 12min:,15min AMRAP,Stretch- Back Fxnl LIne: Karate chop | Glute Smash | Quad | IT,6rds; for time,5rds; for time,10min AMRAP,12min AMRAP,15 |000lbs | for time,,For max weight; ,CrossFit Linchpin Test 6
