WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,1.27.20,1.28.20,1.29.20,1.30.20,1.31.20,2.1.20,2.3.20,2.4.20,2.5.20,2.6.20,2.7.20,2.8.20,2.10.20,2.11.20,2.12.20,2.13.20,2.14.20,2.15.20,2.17.20,2.18.20,2.19.20,2.20.20,2.21.20,2.22.20
Primer,Warm Up 4,Warm Up 14,Warm Up 2,,Warm Up 15,Warm Up 8,Warm Up 13,Warm Up 3,Warm Up 10,,Warm Up 5,Warm Up 12,Warm Up 2,Warm Up 6,Warm Up 2,,Warm Up 12,Warm Up 8,Warm Up 2,Warm Up 5,Warm Up 13,,Warm Up 15,Warm Up 1
Strength,,,,,,,,,,,,,,,,,,,,ref 4.16.19,,,,
Athlete,Back Squats 6x3@ 80%,Sn Pull (H. @Kn) 2x3@ 60% | Power Sn 5x3@ 75%,Deadlifts 6x3@ 80%,,Cl. Pull (H. @Kn) 2x3@ 60% | Power Cl 5x3@ 75%,,Deadlift 6x3@ 85%,(floor) | Clean Pull 2x3@ 78% | Power Clean 6x3@ 78%,Back Squats 6x3@ 85%,,(floor) | Snatch Pull 2x3@ 78% | Power Snatch 6x3@ 78%,,Back Squats 6x2@ 87%,(floor) | Tall Snatch 3x3@ 60% | Power Snatch 4x3@ 80%,Deadlift 6x2@ 87%,,(Floor) | Muscle Clean 3x3@ 50% | Power Clean 4x3@ 80%,,Deadlift 6x2@ 90%,(floor) | Cl. Pull (H. @Kn) 2x3@ 60% | Power Cl 5x2@ 90%,Back Squats 6x2@ 90%,,(floor) | Sn Pull (H. @Kn) 2x3@ 60% | Power Sn 5x3@ 90%,
Enthusiast,Back Squats 6x3@ 75%,(PP) | Sn Pull 3x3@ 115/75 | Power Sn 5x3@ 115/75,Deadlift 6x3@ 75%,,(PP) | Cl Pull 3x3@ 135/85 | Power Cl 5x3@ 135/85,,Deadlift 6x3@ 80%,(PP) | Clean Hi Pull 3x3@ 155/85 | Power Clean 6x3@ 155/85,Back Squats 6x3@ 80%,,(PP) | Sn Hi Pull 3x3@ 125/80 | Power Snatch 6x3@ 125/80,,Back Squats 6x2@ 83%,(PP) | Tall Snatch 3x3@ 95/65 | Power Snatch 4x3@ 95/65,Deadlift 6x2@ 83%,,(PP) | Muscle Clean 3x3@ 115/75 | Power Clean 4x3@ 135/85,,Deadlift 6x2@ 85%,(PP) | Cl Pull 3x3@ 135/85 | Power Cl 5x3@ 155/95,Back Squats 6x2@ 85%,,(PP) | Sn Pull 3x3@ 135/85 | Power Sn 5x3@ 135/85,
Foundation,Box Squats 6x3@ 135/85,OHS 5x3@ 45/35,RDL 6x3@ 135/85,,Fr Sq 5x3@ 85/55,,RDL 6x3@ 155/95,Iso DL Set Up 3x:30@ 95/65 | Lift Off 6x3@ 95/65,Box Squats 6x3@ 145/90,,ISO SG DL Set Up 3x:30@ 95/65 | Lift Off 6x3@ 95/65,,Box Squats 6x2@ 155/95,Tall Snatch (PP) 3x3@ 75/45  | OHS 4x3@ 45/35 ,RDL 6x2@ 165/105,,Muscle Clean (PP) 3x3@ 95/65 | Front Squat 4x3@ 95/65,,RDL 6x2@ 175/115,Fr Sq 5x3@ 115/80,Box Squats 6x2@ 165/100,,OHS 5x3@ 45/35,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Keep E'rything out yo back,,The Ghost,,,,Fix your Upper Back/Neck,,,,,,Creating stable/engaged hips,,,,,,,,CrossFit Linchpin Test 6
