WEEK,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_1_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_2_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_3_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE,WEEK_4_PERFORMANCE
Day,2.25.19,2.26.19,2.27.19,2.28.19,3.1.19,3.2.19,3.4.19,3.5.19,3.6.19,3.7.19,3.8.19,3.9.19,3.11.19,3.12.19,3.13.19,3.14.19,3.15.19,3.16.19,3.18.19,3.19.19,3.20.19,3.21.19,3.22.19,3.23.19
Primer,,,,,,6x 100m Row sprints,,,4x Low Sled Push (90/45),,,,Movement Prep 1 | Foam Roll | 400m Row,Movement Prep 3 | Foam Roll | 400m Row,Movment Prep 4 | 400m Row | Foam Roll,Foam Roll,Movement Prep 3 | 400m Row | Foam Roll,Movement Prep 1 | 400m Row | Foam Roll,500m Row | Foam roll | Movement prep 1,500m Row | Foam Roll | Movement Prep 3,500m Row | Foam Roll | Movement Prep,Movement Prep 1 | Stretch,500m Row | Foam roll | Movement Prep,500m Row | Movement Prep | Foam Roll
Strength,ref 2.22.16,ref 2.23.16,ref 2.24.16,,,ref 2.27.16,ref 2.29.16,ref 3.1.16,ref 3.2.16,,,ref 3.5.16,ref 3.7.16,ref 3.8.16,ref 3.9.16,,,ref 3.12.16,ref 3.14.16,ref 3.15.16,ref 3.16.16,,,ref 3.19.16
Athlete,Back Squats 3x8@ 70%,3 Position Clean 6x3@ 60%,Deadlifts 3x8@ 70%,Durante Core | 5rds; for time | 10 Hollow Body rocks | 10 V-Ups | 10 Tuck Ups | :10 Hollow Hold | 1min rest,3 Position Snatch 6x3@ 60%,,Deadlifts 3x8@ 75%,Snatch 6x4@ 70%,Back Squats 3x8@ 75%,"Abs: | 5rds | 10 Prone Shoulder Press | ""10 Hollow Rocks | 10 Opp Hand to Foot""",Clean 6x4@ 70%,,Back Squats 3x10@ 70%,Clean Pull 3x5@ 80% | Hang Clean 3x5@ 70%,Deadlifts 3x10@ 70%,"Abs: | 4rds | 30 Bicycles | ""20 Opp Hand to Foot | 10 V-Ups | 1min Glute Bridge""",Snatch Pull 3x5@ 80% | Hang Snatch 3x5@ 70%,Bench 4x8@ 65%,Deadlifts 3x10@ 75%,Snatch Pull Under 3x3@ 50% | Snatch 3x2@ 80%,Back Squats 3x10@ 75%,3rds; :30sec each | Kneading Planks | Side Planks (both sides) | Hollow Body,Bench 3x10@ 75%,
Enthusiast,Back Squats 3x8@ 65%,2 Position Clean 6x3@ 50%,Deadlifts 3x8@ 65%,,2 Position Snatch 6x3@ 50%,,Deadlifts 3x8@ 65%,Snatch 6x4@ 60%,Back Squats 3x8@ 65%,,Clean 6x4@ 60%,,Back Squats 3x10@ 65%,Clean High Pull 3x5@ 135/85 | Hang Clean 3x5@ 60%,Deadlifts 3x10@ 65%,,Snatch Hi Pull 3x5@ 95/65 | Hang Snatch 3x5@ 60%,Bench 4x8@ 55%,Deadlifts 3x10@ 70%,Muscle Snatch 3x3@ 75/45 | Power Snatch 3x2@ 70%,Back Squats 3x10@ 70%,,Bench 3x10@ 70%,
Foundation,Back Squats 3x8@ 95/65,Hang Muscle Clean 6x3@ 85/55,Deadlifts 3x8@ 115/75,,Hang Muscle Snatch 6x3@ 75/45,,Deadlifts 3x8@ 135/85,Overhead Squat 5x5@ pvc,Back Squats 3x8@115/75,,Front Squat 5x5@ 45/35,,Back Squats 3x10@ 95/65,RDL 5x5@ 95/65 | Muscle Clean 5x5@ 95/65,Deadlifts 3x10@ 115/75,,SG RDL 5x5@ 95/65 | Muslce Snatch 5x5@ 95/65,Bench 4x8@ 135/65,Deadlifts 3x10@ 135/85,Muscle Snatch 6x5@ 45/35,Back Squats 3x10@ 115/75,,Bench 3x10@ 95/65,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,Swing Life Away,,Jumping Nancy,Hips don't lie,CrossFit Open 19.2,,,Fracas Gone Bad,,,CrossFit Open 19.3,,,,,,CrossFit Open 19.4,,,,,,CrossFit Open 19.5,
Athlete,for time,6rds; for max reps,5rds,Every Exercise a screen,,8min AMRAP,EMOM for 12min,5rds | 1min ea ex | 1min rest,14min AMRAP,(Shoulder Shimmy),,Partner WoD,(15min time cap),12min AMRAP,(20min time cap),(Neck and Back),,for time | CYOO,5rds; for time,10min AMRAP,Every 2min On the Minute for 20min,,,Partner WoD; 12min time cap
