WEEK,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_1_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_2_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_3_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE,WEEK_4_ENDURANCE
Day,5.18.20,5.19.20,5.20.20,5.21.20,5.22.20,5.23.20,5.25.20,5.26.20,5.27.20,5.28.20,5.29.20,5.30.20,6.1.20,6.2.20,6.3.20,6.4.20,6.5.20,6.6.20,6.8.20,6.9.20,6.10.20,6.11.20,6.12.20,6.13.20
Primer,Stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,,Stretch | activate | ab | heart rate,stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,,Stretch | activate | ab | heart rate,stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,,Stretch | activate | ab | heart rate,stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,Stretch | activate | ab | heart rate,,Stretch | activate | ab | heart rate,stretch | activate | ab | heart rate
Strength,,,,,,,,,,,,,,,,,,,,ref 2.25.20,,,,ref 3.21.20
Athlete,Back Squats 10x5@ 55%,Snatch Balance 10x3@ 55%,Deadlifts 10x5@ 55%,,Clean Pull Under 10x3@ 50%,"TGC Core Crusher | GHD Hollow Hold Arm Circles | ""add one rep ea round | 30sec rest b/n rds""",Memorial Day,Deadlifts 10x4@ 60%,Bench Press 10x4@ 60%,,Back Squats 10x4@ 60%,,Back Squats 10x5@ 60%,Clean Pull Under 10x4@ 50%,Deadlifts 10x5@ 60%,,Snatch Balance 10x4@ 55%,,Deadlifts 10x6@ 60%,Snatch Balance 10x5@ 60%,Back Squats 10x6@ 60%,,Clean Pull Under 10x5@ 50%,
Enthusiast,Back Squats 10x5@ 50%,(PP) | Snatch Hi Pull 10x3@ 95/65,Deadlifts 10x5@ 50%,,Clean Hi Pull 10x3@ 115/75,,,Deadlifts 10x4@ 55%,Bench Press 10x4@ 55%,,Back Squats 10x4@ 55%,,Back Squats 10x5@ 55%,Clean Hi Pull 10x4@ 115/75,Deadlifts 10x5@ 55%,,(PP) | Snatch Hi Pull 10x4@ 95/65,,Deadlifts 10x6@ 55%,(PP) | Snatch Hi Pull 10x5@ 95/65,Back Squats 10x6@ 55%,,Clean Hi Pull 10x5@ 115/75,
Foundation,Box Squats 10x5@ 75/55,SG Up Row 10x3@ 45/35,RDL's 10x5@ 95/65,,Up Row 10x3@ 75/45,,,RDL's 10x4@ 115/75,Bench Press 10x4@ 95/65,,Box Squats 10x4@ 85/65,,Box Squats 10x5@ 85/65,Up Row 10x4@ 75/45,RDL's 10x5@ 115/75,,SG Up Row 10x4@ 45/35,,RDL's 10x6@ 115/75,SG Up Row 10x5@ 45/35,Box Squats. 10x6@ 85/65,,Up Row 10x5@ 75/45,
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,How to Rehab Yourself,,,Murph ,,Chun Li,How to Fix Hip/Back/Shoulders,,Anzac Day Tribute,,,FGB Style,How to Move Sans Advil,,,,,Tabata Everything,,,
Athlete,20min AMRAP,8 rounds; for time,10 rounds; for time,,15min AMRAP,Rowing,for time; w/ weighted vest,6 rounds; for time,3 rounds; for time,,8 rounds; for time (20min cap),5 rounds; for time,15min AMRAP,8 rounds; for time,3rds; for max reps,,20min AMRAP,500m Row (for time),EoMOM for 20min,20min AMRAP,(3x),,15min AMRAP,For distance; ~1 hour
,:30 Wall Sits,:20 Reverse Planks,8ea Hip Airplanes,,12 Seated Pike Ups (over kb),:40 hard/ :20 easy,1 mile Run,:20 Isometric I (5's/2.5's),20 Cossack Squats (25/15),,30 Ring Dip Support,25 Push Ups,5 Prone BNP,20 Lunges (w/ 25-40lbs),Push Ups (on db's),,20 Hurdle Step Overs,then...,10 Burpees to target,15 OHS w/ KB (35/15),High Knee Butt Kickers,,1 Pull Up (weighted),Run/Jog/Walk/Bike/RollerBlade/Ruck
,20 Ham Curls (thick),10 Russian Push Ups,10 Hollow Rolls,,15 Straight Arm Lat Pulldowns (thick band),Min 1-4: 20-22 spm,100 Pull Ups,15 Tuck Ups,40 Sit Ups (25/15),,:20 Free Standing Handstand Hold,25m Lunges,15 Bent Over Row (95/65),10 Pike Ups (slide),Rev Fly (15's/10's),,15 Squats (35/25),50 Strict Pull Ups,20 Squats ,10 Upside Down Kb Press (35/15),A-Skips,,3 HSPU,
,10 Narrow Squats,5 Strict Pull Ups,15 Jumping Jacks,,20 Dubs,Min 5-8: 24-26 spm,200 Push Ups,:20 Iso Y (5's/2.5's),,,10 Burpee,25 Squats,:30 Overhead Hold (35-55lbs),,OH Tricep Ext (25's/15's),,:30 Kneading Planks,30 Toes to Bar,,:30 Hollow Hold,Planks,,5 Explosive Push Ups,
,,,,,,Min 9-12: 28-30 spm,300 Squats,15 V-Ups,,,,25m Bear Crawl,,,Bi Curl (25's/15's),,,20 Dragon Flags,,,(alt exercises),,10 Dubs,
,,,,,,,1 mile Run,:20 Iso T (5's/2.5's),,,,,,,1min Rest,,,,,,,,,
,,,,,,,,15 Hip Hikes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Enthusiast,20min AMRAP,8 rounds; for time,10 rounds; for time,How to Rehab Yourself,15min AMRAP,Rowing,1 mile Run,6 rounds; for time,3 rounds; for time,How to Fix Hip/Back/Shoulders,8 rounds; for time (20min cap),5 rounds; for time,15min AMRAP,8 rounds; for time,FGB Style; 3rds; for max reps,,20min AMRAP,500m Row (for time),EoMOM for 20min,20min AMRAP,(3x),,15min AMRAP,For distance; ~1 hour
,:30 Wall Sits,:20 Reverse Planks,8ea Single Leg RDL,,12 Seated Pike Ups,:40 hard/ :20 easy,100 Pull Ups,:20 Isometric I,20 Cossack Squats,,30 Dip Support,25 Push Ups,5 Prone BNP,20 Lunges,Floor Press (40's/25's),,20 Hurdle Step Overs,then...,10 Burpees,15 OHS w/ KB (15/10) ,Butt Kickers,,1 Pull Up,Run/Jog/Walk/Bike/RollerBlade/Ruck
,20 Ham Curls (med),10 Push Ups,10 Hollow Rocks,,15 Straight Arm Lat Pulldowns,Min 1-4: 20-22 spm,200 Push Ups,15 Tuck Ups,40 Sit Ups,,:20 Handstand Hold,25m Lunges,15 Bent Over Row (75/45),10 Pike to Alternate Pike,Rev Fly (10's/5's),,15 Squats,50 Pull Ups,20 Squats ,10 Upside Down Kb Press (15/10),A-Skips,,3 Pike Push Up,
,10 Narrow Squats,5 Pull Ups,15 Jumping Jacks,,20 Dubs,Min 5-8: 24-26 spm,300 Squats,:20 Iso Y,,,10 Burpee,25 Squats,:30 Overhead Hold (10 to 25lbs),,OH Tricep Ext (15's/10's),,:30 Kneading Planks,30 Knees to Elbow,,:30 Hollow Hold,Planks,,5 Push Ups,
