WEEK,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_1_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_2_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_3_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH,WEEK_4_STRENGTH
Day,6.21.21,6.22.21,6.23.21,6.24.21,6.25.21,6.26.21,6.28.21,6.29.21,6.30.21,7.1.21,7.2.21,7.3.21,7.5.21,7.6.21,7.7.21,7.8.21,7.9.21,7.10.21,7.12.21,7.13.21,7.14.21,7.15.21,7.16.21,7.17.21
Primer,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,,,,ref 1.2.21,ref 5.17.16,ref 5.18.16,,,ref 7.13.16 | 1.25.16,ref 6.18.16,,,,,ref 6.17.16,,,,ref 5.20.16,,ref 7.11.16,ref 4.10.21
Athlete,"Back Squats ( || 5"") | 5x5 @ 45%",Squat Sit BNP | 5x8 @ 65/45,Sumo Deadlift 5x8@ 50%,,Jerk 6x4@ 55%,Kb Floor Press 4x Max @ 70's/55's,Deadlifts 5x3@ 85%,Clean 6x2@ 80%,Back Squats 5x3@ 85%,,Snatch 6x2@ 80%,Bench 5x3@ 85%,Back Squats 5x2@ 90%,Snatch 6x2@ 85%,Deadlifts 5x2@ 90%,,Clean 6x2@ 85%,,Deadlifts 6x1@ 95%,Clean 7x1@ 90%,Back Squats 6x1@ 95%,,Snatch 7x1@ 90%,Kb Floor Press 3x Max@ 70's/55's
Enthusiast,"Back Squats (|| 5"") | 5x5 @ 45%",Squat Sit BNP | 5x8 @ 55/45,Sumo Deadlift 5x8@ 50%,,Split Jerk 6x4@ 115/75,Kb Floor Press 4x Max @ 55's/35's,Deadlifts 5x3@ 85%,Clean 6x2@ 155/95,Back Squats 5x3@ 85%,,Snatch 6x2@ 125/80,Bench 5x3@ 85%,Back Squats 5x2@ 90%,Snatch 6x2@ 135/85,Deadlifts 5x2@ 90%,,Clean 6x2@ 165/105,,Deadlifts 6x1@ 95%,Clean 7x1@ 185/125,Back Squats 6x1@ 95%,,Snatch 7x1@ 160/110,Kb Floor Press 3x Max@ 55's/35's
Foundation,"Back Squats ( || 3"") | 5x5@ 75/45",Squat Sit BNP | 5x8@ pvc,Sumo RDL 5x8@ 115/75,,Split Jerk 6x4@ 45/35,Db Floor Press 4x Max @ 40's/25's,RDL's 5x3@ 175/115,Muscle Cl + Fr Sq 6x2@ 120/80,Box Squats 5x3@ 140/100,,Muscle Sn. + OHS 6x2@ 85/55,Bench 5x3@ 155/85,Box Squats 5x2@ 150/110,Muscle Sn. + OHS 6x2@ 95/65,RDL's 5x2@ 185/125,,Muscle Cl. + Fr Sq 6x2@ 125/85,,RDL's 6x2@ 215/135,Muscle Cl + Fr Sq 7x2@ 135/95,Box Squats 6x2@ 165/115,,Muscle Sn. + OHS 7x2@ 100/70,Db Floor Press 3x Max@ 40's/25's
At-Home,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
WoD,,,,Getting your rear in gear,,,,,,,,,1776,,,Shoulder Focus,,,,,,,,
Athlete,5rds; for time,6 rounds; for time,15min AMRAP,Litmus- Squat Sit (butt!),6rds; for time,for time ,15min AMRAP,9min AMRAP,for time,Anterior Reset,EMOM for 12min,Teams (2-4ppl) | for time,7 rds; for time ,15min AMRAP,5 rounds; for max weight,Litmus- Shoulder Screen (FMS),9rds; for time ,Love Day!,Each dist for time,Bench Max,15min AMRAP,Total Body Reset,For max reps,for time
,10 1-Arm Kb Swings (70/55),10 Commando Pull Ups,10ea Banded Knee Raises,St- Foot Sm | Ant Tib Sm | Calf St | Knee Gap | IT Band | Quad | Hip Flexor,30 Db Flys (Fr | Lat | Rev)(15's/10's),3rds ,15 KTE,8 Front Squats (50% Max),100cal Row (10 Pulls at a time),Litmus- Squat Sit/Supine OH,5 Burpees at the top of every min | then...,50 Bar Muscle Ups,4 Strict Chin Ups (25/5),10 Thrusters (50's/35's),2 Bench (up to 90% max),St- Scorpion St | Rear Delt Sm. | Trap Sm. | Scap Sm. | Karate Chop,1 Deficit HSPU ,Spending our fitness credits helping out other people.,800m Row,,30 Dubs,Litmus- OHS Sit,,5rds of:
